STEP,구분,세부 항목,체크리스트 (To-Do),핵심 포인트 & 꿀팁,완료일
STEP 1,기초,양가 부모님께 결혼 의사 전달,결혼 결심 후 가장 먼저 진행,부모님 반응에 따라 전체 일정 조율 필요,
STEP 1,기초,첫 인사 일정 잡기,양가 부모님 일정 조율,상대방 집 방문 or 외부 장소,
STEP 1,기초,첫 인사 복장 준비,단정하고 밝은 색 옷 준비,"무릎 아래 원피스, 절할 수 있는 치마 길이",
STEP 1,기초,첫 인사 선물 준비,"과일, 한우, 위스키 등",어머님이 아버님 음주 싫어하면 위스키 제외,
STEP 1,기초,우황청심원 챙기기,긴장 완화용 준비,첫 인사 전 복용,
STEP 1,기초,전체 예산 수립,양가 분담 비율 협의,"식비 외 기타 경비(기름값, 커피, 주차비, 선물비) 별도 책정",
STEP 1,기초,프로포즈 계획,시점/방식 결정,"준비 시작 전 또는 중 진행, 파트너 로망 파악",
STEP 1,기초,부모님께 택일 요청,결혼 날짜 택일,"손 없는 날 확인, 택일과 홀 빈자리 맞추기",
STEP 1,웨딩홀,예식 스타일 결정,동시/분리/야외/스몰 중 선택,"동시: 고급, 분리: 가성비, 야외: 날씨변수, 스몰: 신경쓸것多",
STEP 1,웨딩홀,예식장 지역 선정,양가 접근성 고려,"하객 규모, 교통편 고려",
STEP 1,웨딩홀,보증 인원 예상,최소 식대 지불 인원 산정,"보통 200~250명, 코로나 시기 협상 가능했음",
STEP 1,웨딩홀,예식장 후보 리스트업,원하는 지역/스타일 업체 조사,인기홀은 1년 전 오픈,
STEP 1,웨딩홀,예식장 투어 예약,전화로 오픈일 확인 후 광클,예식 있는 날 방문하여 분위기 확인,
STEP 1,웨딩홀,주차장 확인,제2주차장 도보 거리 측정,하객 편의성 최우선,
STEP 1,웨딩홀,밥맛 시식,식사 퀄리티 직접 확인,결혼식에서 밥이 중요,
STEP 1,웨딩홀,예식장 밝기/분위기 확인,밝은 홀 vs 어두운 홀,사진 퀄리티에 영향,
STEP 1,웨딩홀,예식 날짜 확정,택일 + 홀 빈자리 맞추기,"비수기(1,2,7,8월) 노리면 비용 절감",
STEP 1,웨딩홀,예식 시간대 확정,오전/오후/저녁 선택,앞뒤 타임 겹침 여부 확인,
STEP 1,웨딩홀,보증 인원 협상,예상 하객수 맞춰 조정,깎을 수 있으면 깎기,
STEP 1,웨딩홀,당일 계약 혜택 확인,"대관료/식대 할인, 음료 서비스",몰아서 보고 빠르게 선택이 유리,
STEP 1,웨딩홀,신축/프로모션 확인,오픈 초기 프로모션,대관료 50% 절약 가능,
STEP 1,웨딩홀,예식장 계약,계약서 작성 및 계약금 납부,계약 조건 꼼꼼히 확인,
STEP 2,플래너,플래너 필요 여부 결정,직접 준비 vs 플래너 활용,대부분 플래너 활용 추천,
STEP 2,플래너,대형 업체 vs 소형 업체 결정,제휴 범위 확인,"대형(베리굿 등): 예약 수월, 피드백 빠름",
STEP 2,플래너,플래너 후보 리스트업,인스타 프로필/후기 확인,본인 스타일과 맞는 분 선택,
STEP 2,플래너,시니어 플래너 요청,경력 있는 플래너 배정,업무 능력 뛰어남,
STEP 2,플래너,플래너 계약,서비스 범위 확인 후 계약,별도 비용 없음(업체 수수료 운영),
STEP 2,플래너,웨딩 박람회 주의사항 숙지,작은 업체 계약 주의,선택폭 좁아지고 하이엔드 브랜드 못 쓸 수 있음,
STEP 2,본식기록,본식 스냅 업체 선정,홀 촬영 경험 업체 조사,인기 업체는 1년 전에도 마감,
STEP 2,본식기록,본식 스냅 대표/원장 지정,알바생 방지,지정 가능 여부 확인 필수,
STEP 2,본식기록,본식 스냅 예약,날짜 확정 후 바로 예약,늦으면 원하는 업체 못 잡음,
STEP 2,본식기록,본식 DVD 업체 선정,영상 촬영 업체 조사,신부 대기실 밖 상황 기록용,
STEP 2,본식기록,본식 DVD 예약,스냅과 함께 바로 예약,부모님 표정 기록 강력 추천,
STEP 2,본식기록,아이폰 스냅 예약 (선택),당일/익일 사진 수령용,"서브 스냅 개념, SNS용",
STEP 2,스드메,스튜디오 스타일 결정,인물 중심 vs 배경 중심,작품 샘플 꼼꼼히 확인,
STEP 2,스드메,스튜디오 후보 리스트업,플래너 제휴 업체 확인,신규 스튜디오 프로모션 확인,
STEP 2,스드메,스튜디오 투어 및 선정,샘플 보고 결정,신규 오픈은 빠르게 예약시 비용 효율적,
STEP 2,스드메,스튜디오 예약,촬영 날짜 확정,보정본 2~3개월 소요 고려,
STEP 2,스드메,드레스 샵 후보 리스트업,가격대별 3곳 (200/300/400~500만),비즈/실크 취향 파악,
STEP 2,스드메,메이크업 스타일 결정,과즙/아이돌 vs 단정한 스타일,"위위, 애브뉴준오 등 참고",
STEP 2,스드메,메이크업 샵 선정,플래너 제휴 업체 중 선택,얼굴 예쁘게 나오는 게 중요,
STEP 2,스드메,스드메 계약,패키지 계약,추가금 항목 반드시 확인,
STEP 3,예물,예물/예단 범위 협의,양가 가치관 조율,생략/간소화 추세,
STEP 3,예물,웨딩링 디자인 결정,브랜드 vs 종로,"브랜드: 패션활용도↑ but 비싸고 흔함, 종로: 가성비 but 모방多",
STEP 3,예물,웨딩링 사이즈 측정,아침/저녁 여러 번 체크,컨디션에 따라 달라짐,
STEP 3,예물,웨딩링 주문,10개월 전 주문 (브랜드),촬영 때 끼려면 미리 주문,
STEP 3,예물,시계/가방 등 예물 협의,서로 주고받는 물건 결정,집안마다 상이,
STEP 3,예물,예단 범위 결정 (선택),"이불, 옷, 현금 등","신부측→신랑측, 꾸밈비 포함",
STEP 3,여행,신혼여행 목적지 선정,선호 지역/테마 결정,마일리지 활용 가능 여부 확인,
STEP 3,여행,항공권 예약,1년 전 구매 추천,저렴하고 좋은 좌석(프레스티지) 확보,
STEP 3,여행,숙소 예약,호텔/리조트 선정,패키지 라텍스 쇼핑 강요 주의,
STEP 3,여행,신혼여행 일정 확정,결혼식 6~8개월 전 예약,성수기 일찍 마감,
STEP 3,드레스,드레스 투어 일정 잡기,플래너와 일정 조율,여러 샵 방문 계획,
STEP 3,드레스,드레스 투어 시 주의사항 숙지,타 업체 언급 절대 금지!,경쟁 치열해서 정보 노출 불가,
STEP 3,드레스,200만원대 샵 투어,가성비 라인 확인,퀄리티 비교용,
STEP 3,드레스,300만원대 샵 투어,중간 라인 확인,다양한 스타일 시착,
STEP 3,드레스,400~500만원대 샵 투어,하이엔드 라인 확인,퀄리티 차이 비교,
STEP 3,드레스,다양한 스타일 시착,"비즈, 실크, 잔잔비즈 등",확신 있어도 다 입어봐야 후회없음,
STEP 3,드레스,신상 드레스 위주 요청,추가금 없는 드레스,플래너 동행시 좋은 드레스 확률↑,
STEP 3,드레스,본식 드레스 홀딩,마음에 드는 드레스 선점,나중에 추가금 없이 입을 확률↑,
STEP 3,드레스,촬영용 드레스 선택,본식 드레스와 별도,샵에서 함께 결정,
STEP 3,드레스,당일 계약 혜택 확보,할인/서비스 협상,투어 후 빠른 결정,
STEP 3,예복,신랑 예복 맞춤 여부 결정,맞춤 vs 대여,제작 기간 2개월 소요,
STEP 3,예복,신랑 예복 샵 선정,촬영용 대여 포함 여부 확인,아버님 양복도 함께 가능,
STEP 3,예복,신랑 예복 주문,맞춤시 8~10개월 전,피팅 일정 고려,
STEP 3,검증,서류 교환 논의 (선택),양가 합의 후 진행,혼인/채무/범죄/건강검진 기록,
STEP 4,촬영,스튜디오 촬영 일정 확정,드레스 셀렉 후 결정,보정본 2~3개월 소요 역산,
STEP 4,촬영,헤어 변형 예약,4시간 30분 계약 추천,만족도 최상 옵션,
STEP 4,촬영,플라워 디렉팅 추가 (선택),부케/꽃 스타일링,사진 퀄리티 향상,
STEP 4,촬영,촬영 준비물 체크리스트,한입 크기 도시락,긴 촬영 중 식사,
STEP 4,촬영,헬퍼 이모님 현금 준비,20~25만원 봉투,현금 지급 필수,
STEP 4,촬영,속옷/악세서리 준비,"누드톤 속옷, 귀걸이 등",드레스에 맞춰 준비,
STEP 4,촬영,스튜디오 촬영 진행,당일 일정 숙지,촬영 시작 30분 뒤 헬퍼 콜,
STEP 4,촬영,촬영 후 셀렉 진행,앨범 수록 사진 선택,앨범 페이지 추가 절대 금지!,
STEP 4,촬영,원본 파일 구매,30~40만원 선,추가 보정용 필수,
STEP 4,촬영,사설 보정 의뢰 (선택),장당 4천원 수준,스튜디오보다 훨씬 저렴,
STEP 4,촬영,제주 스냅 고려 (대안),스튜디오 대신 약 200만원,"다양한 배경, 만족도 높음",
STEP 4,가족,상견례 일정 조율,양가 부모님 시간 맞추기,보통 결혼식 1년 전,
STEP 4,가족,상견례 장소 섭외,웨딩홀 시식권 활용 추천,비용 절감 가능,
STEP 4,가족,상견례 선물 준비,"과일, 한우, 위스키 등",빈손 방문 금지,
STEP 4,가족,상견례 사전 조율,민감한 돈 얘기 미리 정리,자리에서 논의 금지,
STEP 4,가족,상견례 진행,인사 및 일정 공유,예단/예물 등은 이미 조율된 상태로,
STEP 5,주거,신혼집 지역 선정,"출퇴근, 인프라 고려",5~6개월 전부터 매물 확인,
STEP 5,주거,신혼집 매물 조사,"실거래가, 컨디션 확인",꾸준히 체크,
STEP 5,주거,신혼집 계약,전세/매매 계약,최소 1개월 전 세팅 완료 목표,
STEP 5,주거,빌트인 가전 확인,"에어컨, 오븐 등 설치 여부",중복 구매 방지,
STEP 5,주거,집 실측,가전/가구 크기 결정용,빌트인 옵션 확인 후 구매,
STEP 5,혼수,가전 품목 리스트업,"냉장고, 세탁기, TV, 에어컨 등",빌트인 유무 확인 후,
STEP 5,혼수,백화점 프로모션 확인,"웨딩 혜택, 상품권 행사",의외로 저렴,
STEP 5,혼수,여러 매장 견적 받기,가격 비교,흥정 준비,
STEP 5,혼수,원하는 매장에서 흥정,더 좋은 프로모션 요청,월초 주말 오전이 최적,
STEP 5,혼수,가전 구매,프로모션 + VIP 혜택 활용,큰 금액으로 VIP(프리비아비) 달성,
STEP 5,혼수,식기세척기 구매,다른 가전과 함께,웨딩 혜택 받으려면 같이 구매,
